排名,电影链接,海报链接,名字,国家,发行年份,类型,导演,评分,评分人数
77,https://movie.douban.com/subject/1293544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,沉默的羔羊,美国,1991,剧情 犯罪 惊悚                        ,乔纳森·戴米 Jonathan Demme,8.9,803469人评价
78,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,海豚湾,美国,2009,纪录片                        ,路易·西霍尤斯 Louie Psihoyos,9.3,337407人评价
79,https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,致命魔术,英国,2006,剧情 悬疑 惊悚                        ,克里斯托弗·诺兰 Christopher Nolan,8.9,787054人评价
80,https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,禁闭岛,美国,2010,剧情 悬疑 惊悚                        ,Martin Scorsese,8.8,884233人评价
81,https://movie.douban.com/subject/11525673/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,布达佩斯大饭店,美国,2014,剧情 喜剧 冒险                        ,韦斯·安德森 Wes Anderson,8.9,838404人评价
82,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,蝴蝶效应,美国,2004,剧情 悬疑 科幻 惊悚                        ,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,8.8,858217人评价
83,https://movie.douban.com/subject/1292262/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,美国往事,美国,1984,犯罪 剧情                        ,赛尔乔·莱翁内 Sergio Leone,9.2,379122人评价
84,https://movie.douban.com/subject/1292656/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,心灵捕手,美国,1997,剧情                        ,格斯·范·桑特 Gus Van Sant,8.9,648512人评价
85,https://movie.douban.com/subject/1291832/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,低俗小说,美国,1994,剧情 喜剧 犯罪                        ,昆汀·塔伦蒂诺 Quentin Tarantino,8.9,762573人评价
86,https://movie.douban.com/subject/1292679/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,春光乍泄,中国香港,1997,剧情 爱情 同性                        ,王家卫 Kar Wai Wong,9.0,576399人评价
87,https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,摩登时代,美国,1936,剧情 喜剧 爱情                        ,查理·卓别林 Charles Chaplin,9.3,271657人评价
88,https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,七宗罪,美国,1995,剧情 犯罪 悬疑 惊悚                        ,大卫·芬奇 David Fincher,8.8,876406人评价
89,https://movie.douban.com/subject/1302425/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,喜剧之王,中国香港,1999,喜剧 剧情 爱情                        ,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,8.8,883216人评价
90,https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,致命ID,美国,2003,剧情 悬疑 惊悚                        ,詹姆斯·曼高德 James Mangold,8.8,744878人评价
91,https://movie.douban.com/subject/1300299/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,杀人回忆,韩国,2003,剧情 动作 犯罪 悬疑 惊悚                        ,奉俊昊 Joon-ho Bong,8.9,637738人评价
92,https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,功夫,中国大陆,2004,动作 喜剧 犯罪 奇幻                        ,周星驰 Stephen Chow,8.7,988835人评价
93,https://movie.douban.com/subject/5322596/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,超脱,美国,2011,剧情                        ,托尼·凯耶 Tony Kaye,9.0,507264人评价
94,https://movie.douban.com/subject/1291544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,哈利·波特与阿兹卡班的囚徒,英国,2004,奇幻 冒险                        ,Alfonso Cuarón,8.9,634339人评价
95,https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,加勒比海盗,美国,2003,动作 冒险 奇幻                        ,戈尔·维宾斯基 Gore Verbinski,8.8,790270人评价
96,https://movie.douban.com/subject/1865703/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,红辣椒,日本,2006,动画 悬疑 科幻 惊悚                        ,今敏 Satoshi Kon,9.1,407393人评价
97,https://movie.douban.com/subject/1787291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,被嫌弃的松子的一生,日本,2006,剧情 歌舞                        ,中岛哲也 Tetsuya Nakashima,8.9,656454人评价
98,https://movie.douban.com/subject/6985810/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,狩猎,丹麦,2012,剧情                        ,托马斯·温特伯格 Thomas Vinterberg,9.1,350865人评价
99,https://movie.douban.com/subject/26799731/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,请以你的名字呼唤我,意大利,2017,剧情 爱情 同性                        ,卢卡·瓜达尼诺 Luca Guadagnino,8.9,651103人评价
