排名,电影链接,海报链接,名字,国家,发行年份,类型,导演,评分,评分人数
119,https://movie.douban.com/subject/1292337/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,无人知晓,日本,2004,剧情                        ,是枝裕和 Hirokazu Koreeda,9.1,286586人评价
120,https://movie.douban.com/subject/1291990/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,爱在日落黄昏时,美国,2004,剧情 爱情                        ,理查德·林克莱特 Richard Linklater,8.9,499056人评价
121,https://movie.douban.com/subject/21318488/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,消失的爱人,美国,2014,剧情 犯罪 悬疑 惊悚                        ,大卫·芬奇 David Fincher,8.7,847543人评价
122,https://movie.douban.com/subject/25814707/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,小森林 冬春篇,日本,2015,剧情                        ,森淳一 Junichi Mori,9.0,349411人评价
123,https://movie.douban.com/subject/4202302/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,借东西的小人阿莉埃蒂,日本,2010,动画 奇幻 冒险                        ,米林宏昌 Hiromasa Yonebayashi,8.9,502444人评价
124,https://movie.douban.com/subject/1305164/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,甜蜜蜜,中国香港,1996,剧情 爱情                        ,陈可辛 Peter Chan,8.9,479780人评价
125,https://movie.douban.com/subject/1297447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,倩女幽魂,中国香港,1987,爱情 奇幻 武侠 古装                        ,程小东 Siu-Tung Ching,8.8,672782人评价
126,https://movie.douban.com/subject/1297052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,侧耳倾听,日本,1995,剧情 爱情 动画                        ,近藤喜文 Yoshifumi Kondo,8.9,422001人评价
127,https://movie.douban.com/subject/1292274/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,幸福终点站,美国,2004,喜剧 剧情 爱情                        ,史蒂文·斯皮尔伯格 Steven Spielberg,8.8,515284人评价
128,https://movie.douban.com/subject/10577869/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,时空恋旅人,英国,2013,喜剧 爱情 奇幻                        ,理查德·柯蒂斯 Richard Curtis,8.8,591461人评价
129,https://movie.douban.com/subject/2353023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,驯龙高手,美国,2010,动画 奇幻 冒险                        ,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,8.7,695047人评价
130,https://movie.douban.com/subject/5989818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,萤火之森,日本,2011,剧情 爱情 动画 奇幻                        ,大森贵弘 Takahiro Omori,8.9,482457人评价
131,https://movie.douban.com/subject/3072124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,玛丽和马克思,澳大利亚,2009,剧情 喜剧 动画                        ,亚当·艾略特 Adam Elliot,8.9,397709人评价
132,https://movie.douban.com/subject/1291579/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,怪兽电力公司,美国,2001,儿童 喜剧 动画 奇幻 冒险                        ,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,8.8,607127人评价
133,https://movie.douban.com/subject/1294240/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,教父3,美国,1990,剧情 犯罪                        ,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.0,334826人评价
134,https://movie.douban.com/subject/26628357/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,一个叫欧维的男人决定去死,瑞典,2015,剧情                        ,汉内斯·赫尔姆 Hannes Holm,8.9,415025人评价
135,https://movie.douban.com/subject/1291545/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,大鱼,美国,2003,剧情 家庭 奇幻 冒险                        ,蒂姆·波顿 Tim Burton,8.8,526684人评价
136,https://movie.douban.com/subject/1858711/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,玩具总动员3,美国,2010,喜剧 动画 奇幻 冒险                        ,李·昂克里奇 Lee Unkrich,8.9,466651人评价
137,https://movie.douban.com/subject/27010768/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,寄生虫,韩国,2019,剧情                        ,奉俊昊 Joon-ho Bong,8.8,1257330人评价
138,https://movie.douban.com/subject/4268598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,告白,日本,2010,剧情 悬疑                        ,中岛哲也 Tetsuya Nakashima,8.8,627852人评价
139,https://movie.douban.com/subject/1418200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,傲慢与偏见,法国,2005,剧情 爱情                        ,乔·怀特 Joe Wright,8.7,723158人评价
140,https://movie.douban.com/subject/3287562/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,神偷奶爸,美国,2010,喜剧 动画 冒险                        ,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,8.6,874998人评价
141,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,釜山行,韩国,2016,动作 惊悚 灾难                        ,延尚昊 Sang-ho Yeon,8.6,1092724人评价
142,https://movie.douban.com/subject/4917726/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,阳光姐妹淘,韩国,2011,剧情 喜剧                        ,姜炯哲 Hyeong-Cheol Kang,8.8,557694人评价
143,https://movie.douban.com/subject/1316510/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg,射雕英雄传之东成西就,中国香港,1993,喜剧 奇幻 武侠 古装                        ,刘镇伟 Jeffrey Lau,8.7,584312人评价
144,https://movie.douban.com/subject/1395091/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,未麻的部屋,日本,1997,动画 奇幻 惊悚                        ,今敏 Satoshi Kon,9.0,286620人评价
145,https://movie.douban.com/subject/6307447/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,被解救的姜戈,美国,2012,剧情 动作 西部 冒险                        ,昆汀·塔伦蒂诺 Quentin Tarantino,8.8,556438人评价
146,https://movie.douban.com/subject/21360417/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2054744538.jpg,恐怖直播,韩国,2013,剧情 犯罪 悬疑                        ,金秉祐 Byeong-woo Kim,8.7,597973人评价
147,https://movie.douban.com/subject/1307315/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,哪吒闹海,中国大陆,1979,冒险 动画 奇幻                        ,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,9.1,234065人评价
148,https://movie.douban.com/subject/1306861/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,我是山姆,美国,2001,剧情 家庭                        ,杰茜·尼尔森 Jessie Nelson,9.0,306736人评价
149,https://movie.douban.com/subject/1309055/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,哈利·波特与火焰杯,英国,2005,悬疑 奇幻 冒险                        ,迈克·内威尔 Mike Newell,8.7,575127人评价
150,https://movie.douban.com/subject/26325320/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,血战钢锯岭,澳大利亚,2016,剧情 传记 历史 战争                        ,梅尔·吉布森 Mel Gibson,8.7,727532人评价
151,https://movie.douban.com/subject/4920389/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,头号玩家,美国,2018,动作 科幻 冒险                        ,史蒂文·斯皮尔伯格 Steven Spielberg,8.7,1256782人评价
152,https://movie.douban.com/subject/10437779/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,新世界,韩国,2013,剧情 犯罪                        ,朴勋政 Hoon-jung Park,8.9,363231人评价
153,https://movie.douban.com/subject/10463953/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,模仿游戏,英国,2014,剧情 传记 战争 同性                        ,莫滕·泰杜姆 Morten Tyldum,8.7,585341人评价
154,https://movie.douban.com/subject/1303037/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,喜宴,中国台湾,1993,剧情 喜剧 爱情 同性 家庭                        ,李安 Ang Lee,9.0,320617人评价
155,https://movie.douban.com/subject/1295399/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,七武士,日本,1954,动作 冒险 剧情                        ,黑泽明 Akira Kurosawa,9.3,178346人评价
156,https://movie.douban.com/subject/1291557/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,花样年华,中国香港,2000,剧情 爱情                        ,王家卫 Kar Wai Wong,8.7,542044人评价
157,https://movie.douban.com/subject/1302467/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,黑客帝国3：矩阵革命,美国,2003,动作 科幻                        ,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.8,412462人评价
158,https://movie.douban.com/subject/10533913/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,头脑特工队,美国,2015,喜剧 动画 冒险                        ,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,8.8,552893人评价
159,https://movie.douban.com/subject/1417598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg,电锯惊魂,美国,2004,悬疑 惊悚 恐怖                        ,詹姆斯·温 James Wan,8.7,482622人评价
160,https://movie.douban.com/subject/26611804/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,三块广告牌,美国,2017,剧情 犯罪                        ,马丁·麦克唐纳 Martin McDonagh,8.7,759571人评价
161,https://movie.douban.com/subject/26683290/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,你的名字。,日本,2016,剧情 爱情 动画                        ,新海诚 Makoto Shinkai,8.5,1269923人评价
162,https://movie.douban.com/subject/1291822/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,卢旺达饭店,英国,2004,剧情 传记 历史 战争                        ,特瑞·乔治 Terry George,8.9,298582人评价
163,https://movie.douban.com/subject/1793929/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,达拉斯买家俱乐部,美国,2013,剧情 传记 同性                        ,让-马克·瓦雷 Jean-Marc Vallée,8.8,417306人评价
164,https://movie.douban.com/subject/1907966/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,疯狂原始人,美国,2013,喜剧 动画 冒险                        ,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,8.7,777634人评价
165,https://movie.douban.com/subject/1292208/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,上帝之城,巴西,2002,犯罪 剧情                        ,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,9.0,279830人评价
166,https://movie.douban.com/subject/1578507/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,谍影重重3,美国,2007,动作 悬疑 惊悚                        ,保罗·格林格拉斯 Paul Greengrass,8.8,387023人评价
167,https://movie.douban.com/subject/1297574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,英雄本色,中国香港,1986,剧情 动作 犯罪                        ,吴宇森 John Woo,8.6,485657人评价
168,https://movie.douban.com/subject/1291585/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,风之谷,日本,1984,动画 奇幻 冒险                        ,宫崎骏 Hayao Miyazaki,8.9,331437人评价
169,https://movie.douban.com/subject/1297518/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,九品芝麻官,中国香港,1994,剧情 喜剧 古装                        ,王晶 Jing Wong,8.7,594475人评价
170,https://movie.douban.com/subject/1293181/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,惊魂记,美国,1960,悬疑 惊悚 恐怖                        ,阿尔弗雷德·希区柯克 Alfred Hitchcock,9.0,252807人评价
171,https://movie.douban.com/subject/25917973/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,心迷宫,中国大陆,2014,剧情 犯罪 悬疑                        ,忻钰坤 Yukun Xin,8.7,468862人评价
172,https://movie.douban.com/subject/1295409/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,纵横四海,中国香港,1991,剧情 喜剧 动作 犯罪                        ,吴宇森 John Woo,8.8,383016人评价
173,https://movie.douban.com/subject/25895901/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,海街日记,日本,2015,剧情 家庭                        ,是枝裕和 Hirokazu Koreeda,8.8,403200人评价
174,https://movie.douban.com/subject/3792799/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,岁月神偷,中国香港,2010,剧情 家庭                        ,罗启锐 Alex Law,8.7,541457人评价
175,https://movie.douban.com/subject/1304447/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,记忆碎片,美国,2000,犯罪 剧情 悬疑 惊悚                        ,克里斯托弗·诺兰 Christopher Nolan,8.7,558073人评价
176,https://movie.douban.com/subject/1959195/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg,忠犬八公物语,日本,1987,剧情                        ,Seijirô Kôyama,9.2,176569人评价
177,https://movie.douban.com/subject/24750126/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,荒蛮故事,阿根廷,2014,剧情 喜剧 犯罪                        ,达米安·斯兹弗隆 Damián Szifron,8.8,404349人评价
178,https://movie.douban.com/subject/10808442/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,爱在午夜降临前,美国,2013,剧情 爱情                        ,理查德·林克莱特 Richard Linklater,8.9,351519人评价
179,https://movie.douban.com/subject/1300374/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,绿里奇迹,美国,1999,犯罪 剧情 奇幻 悬疑                        ,Frank Darabont,8.9,292135人评价
180,https://movie.douban.com/subject/1828115/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,色，戒,中国台湾,2007,剧情 爱情 情色                        ,李安 Ang Lee,8.6,684563人评价
181,https://movie.douban.com/subject/25773932/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,爆裂鼓手,美国,2014,剧情 音乐                        ,达米恩·查泽雷 Damien Chazelle,8.7,528765人评价
182,https://movie.douban.com/subject/27622447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,小偷家族,日本,2018,剧情 犯罪 家庭                        ,是枝裕和 Hirokazu Koreeda,8.7,757128人评价
183,https://movie.douban.com/subject/2209573/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,贫民窟的百万富翁,英国,2008,剧情 爱情                        ,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,8.6,694523人评价
184,https://movie.douban.com/subject/6534248/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,无敌破坏王,美国,2012,喜剧 动画 奇幻 冒险                        ,瑞奇·莫尔 Rich Moore,8.7,489722人评价
185,https://movie.douban.com/subject/1292401/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,真爱至上,英国,2003,喜剧 剧情 爱情                        ,理查德·柯蒂斯 Richard Curtis,8.6,674066人评价
186,https://movie.douban.com/subject/1292328/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,东邪西毒,中国香港,1994,剧情 动作 爱情 武侠 古装                        ,王家卫 Kar Wai Wong,8.6,534015人评价
187,https://movie.douban.com/subject/1862151/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,疯狂的石头,中国大陆,2006,喜剧 犯罪                        ,宁浩 Hao Ning,8.5,745178人评价
188,https://movie.douban.com/subject/1291578/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,冰川时代,美国,2002,喜剧 动画 冒险                        ,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,8.6,565202人评价
189,https://movie.douban.com/subject/1293460/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,雨中曲,美国,1952,喜剧 歌舞 爱情                        ,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,9.1,197883人评价
190,https://movie.douban.com/subject/4848115/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,你看起来好像很好吃,日本,2010,剧情 动画 儿童                        ,藤森雅也 Masaya Fujimori,8.9,307056人评价
191,https://movie.douban.com/subject/1978709/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,黑天鹅,美国,2010,剧情 惊悚                        ,达伦·阿罗诺夫斯基 Darren Aronofsky,8.6,736799人评价
192,https://movie.douban.com/subject/3011051/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,恐怖游轮,英国,2009,剧情 悬疑 惊悚                        ,克里斯托弗·史密斯 Christopher Smith,8.5,767328人评价
193,https://movie.douban.com/subject/1461403/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg,茶馆,中国大陆,1982(中国大陆),剧情 历史                        ,谢添 Tian Xie,9.5,104696人评价
194,https://movie.douban.com/subject/1292226/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,2001太空漫游,英国,1968,科幻 惊悚 冒险                        ,斯坦利·库布里克 Stanley Kubrick,8.9,283972人评价
195,https://movie.douban.com/subject/1291870/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg,雨人,美国,1988,剧情                        ,巴瑞·莱文森 Barry Levinson,8.7,374412人评价
196,https://movie.douban.com/subject/1307811/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,魔女宅急便,日本,1989,动画 奇幻 冒险                        ,宫崎骏 Hayao Miyazaki,8.7,418677人评价
197,https://movie.douban.com/subject/1309163/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,恋恋笔记本,美国,2004,剧情 爱情                        ,尼克·卡索维茨 Nick Cassavetes,8.6,613231人评价
198,https://movie.douban.com/subject/1867345/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1481879628.jpg,遗愿清单,美国,2007,冒险 喜剧 剧情                        ,罗伯·莱纳 Rob Reiner,8.7,400191人评价
199,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,城市之光,美国,1931,喜剧 剧情 爱情                        ,Charles Chaplin,9.3,129841人评价
200,https://movie.douban.com/subject/1308857/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,可可西里,中国大陆,2004,剧情 犯罪                        ,陆川 Chuan Lu,8.9,275592人评价
201,https://movie.douban.com/subject/27059130/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,大佛普拉斯,中国台湾,2017,剧情 喜剧                        ,黄信尧 Hsin-yao Huang,8.7,401927人评价
202,https://movie.douban.com/subject/1307106/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,无间道2,中国香港,2003,剧情 犯罪 惊悚                        ,刘伟强 / 麦兆辉,8.7,416814人评价
203,https://movie.douban.com/subject/1293318/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,萤火虫之墓,日本,1988,动画 剧情 战争                        ,高畑勋 Isao Takahata,8.7,381153人评价
204,https://movie.douban.com/subject/1292329/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,牯岭街少年杀人事件,中国台湾,1991,剧情 犯罪                        ,杨德昌 Edward Yang,8.9,256462人评价
205,https://movie.douban.com/subject/1307856/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg,背靠背，脸对脸,中国大陆,1994,剧情                        ,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,9.5,105257人评价
206,https://movie.douban.com/subject/1296909/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,虎口脱险,法国,1966,喜剧 战争                        ,杰拉尔·乌里 Gérard Oury,8.9,230385人评价
207,https://movie.douban.com/subject/3075287/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,源代码,美国,2011,科幻 悬疑 惊悚                        ,邓肯·琼斯 Duncan Jones,8.5,772399人评价
208,https://movie.douban.com/subject/1302827/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,人工智能,美国,2001,剧情 科幻                        ,史蒂文·斯皮尔伯格 Steven Spielberg,8.7,406607人评价
209,https://movie.douban.com/subject/4739952/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,初恋这件小事,泰国,2010,剧情 喜剧 爱情                        ,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,8.5,921551人评价
210,https://movie.douban.com/subject/25980443/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,海边的曼彻斯特,美国,2016,剧情 家庭                        ,肯尼斯·罗纳根 Kenneth Lonergan,8.6,462382人评价
211,https://movie.douban.com/subject/1310177/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,东京教父,日本,2003,剧情 喜剧 动画                        ,今敏 Satoshi Kon,9.0,189630人评价
212,https://movie.douban.com/subject/27119724/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,小丑,美国,2019,剧情 犯罪 惊悚                        ,托德·菲利普斯 Todd Phillips,8.7,920827人评价
213,https://movie.douban.com/subject/1291879/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg,罗生门,日本,1950,剧情 犯罪 悬疑                        ,黑泽明 Akira Kurosawa,8.8,285797人评价
214,https://movie.douban.com/subject/1291844/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,终结者2：审判日,美国,1991,动作 科幻                        ,詹姆斯·卡梅隆 James Cameron,8.8,314005人评价
215,https://movie.douban.com/subject/1303394/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,青蛇,中国香港,1993,剧情 爱情 奇幻 古装                        ,徐克 Hark Tsui,8.6,478190人评价
216,https://movie.douban.com/subject/26787574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,奇迹男孩,美国,2017,剧情 儿童 家庭                        ,斯蒂芬·卓博斯基 Stephen Chbosky,8.6,515644人评价
217,https://movie.douban.com/subject/5300054/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,波西米亚狂想曲,英国,2018,剧情 传记 同性 音乐                        ,布莱恩·辛格 Bryan Singer,8.6,546893人评价
218,https://movie.douban.com/subject/26430107/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,二十二,中国大陆,2015,纪录片                        ,郭柯 Ke Guo,8.7,274259人评价
219,https://movie.douban.com/subject/3592854/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,疯狂的麦克斯4：狂暴之路,澳大利亚,2015,动作 科幻 冒险                        ,乔治·米勒 George Miller,8.6,481830人评价
220,https://movie.douban.com/subject/1292287/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,新龙门客栈,中国香港,1992,动作 爱情 武侠 古装                        ,李惠民 Raymond Lee,8.7,404544人评价
221,https://movie.douban.com/subject/25724855/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,房间,爱尔兰,2015,剧情 家庭                        ,伦尼·阿伯拉罕森 Lenny Abrahamson,8.8,347628人评价
222,https://movie.douban.com/subject/1438652/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg,无耻混蛋,德国,2009,剧情 犯罪                        ,Quentin Tarantino,8.6,434275人评价
223,https://movie.douban.com/subject/1428175/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,血钻,美国,2006,剧情 惊悚 冒险                        ,爱德华·兹威克 Edward Zwick,8.7,345876人评价
224,https://movie.douban.com/subject/1300117/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,千钧一发,美国,1997,剧情 科幻 惊悚                        ,安德鲁·尼科尔 Andrew Niccol,8.8,261055人评价
225,https://movie.douban.com/subject/1293964/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,魂断蓝桥,美国,1940,剧情 爱情 战争                        ,茂文·勒鲁瓦 Mervyn LeRoy,8.8,254539人评价
226,https://movie.douban.com/subject/2222996/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg,步履不停,日本,2008,剧情 家庭                        ,是枝裕和 Hirokazu Koreeda,8.8,253390人评价
227,https://movie.douban.com/subject/1304141/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg,黑客帝国2：重装上阵,美国,2003,动作 科幻                        ,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,8.7,373454人评价
228,https://movie.douban.com/subject/24733428/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626308994.jpg,心灵奇旅,美国,2020,动画 奇幻 音乐                        ,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,8.7,867158人评价
229,https://movie.douban.com/subject/25807345/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,彗星来的那一夜,美国,2013,科幻 悬疑 惊悚                        ,詹姆斯·沃德·布柯特 James Ward Byrkit,8.5,510152人评价
230,https://movie.douban.com/subject/1959877/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg,崖上的波妞,日本,2008,动画 奇幻 冒险                        ,宫崎骏 Hayao Miyazaki,8.6,437627人评价
231,https://movie.douban.com/subject/1419936/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,战争之王,法国,2005,剧情 犯罪                        ,安德鲁·尼科尔 Andrew Niccol,8.7,333331人评价
232,https://movie.douban.com/subject/25934014/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395517414.jpg,爱乐之城,美国,2016,剧情 爱情 歌舞                        ,达米恩·查泽雷 Damien Chazelle,8.4,797338人评价
233,https://movie.douban.com/subject/1308767/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,谍影重重2,美国,2004,动作 悬疑 惊悚                        ,保罗·格林格拉斯 Paul Greengrass,8.7,324623人评价
234,https://movie.douban.com/subject/1295865/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797313535.jpg,燃情岁月,美国,1994,剧情 爱情 战争 西部                        ,爱德华·兹威克 Edward Zwick,8.8,265770人评价
235,https://movie.douban.com/subject/1305690/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,阿飞正传,中国香港,1990,犯罪 剧情 爱情                        ,王家卫 Kar Wai Wong,8.5,463304人评价
236,https://movie.douban.com/subject/1291992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg,末路狂花,美国,1991,犯罪 剧情 惊悚                        ,雷德利·斯科特 Ridley Scott,8.9,214184人评价
237,https://movie.douban.com/subject/3443389/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg,海洋,法国,2009,纪录片                        ,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,9.1,149647人评价
